date,host,stadium,match_type,team_1,team_2,team_1_score,team_2_score,winner,margin,margin_type,winning_condition,series,season,season_winner
08-Mar-92,Australia/New Zealand,Auckland,21st Match,West Indies,New Zealand,203 for 7,206 for 5,New Zealand,5,wickets,with 9 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
08-Mar-92,Australia/New Zealand,Brisbane,22nd Match,South Africa,Pakistan,211 for 7,173 for 8,South Africa,20,runs,revised target,Benson & Hedges World Cup,1991/92,Pakistan
09-Mar-92,Australia/New Zealand,Ballarat,23rd Match,England,Sri Lanka,280 for 6,174,England,106,runs,,Benson & Hedges World Cup,1991/92,Pakistan
10-Mar-92,Australia/New Zealand,Wellington,24th Match,India,West Indies,197,195 for 5,West Indies,5,wickets,revised target,Benson & Hedges World Cup,1991/92,Pakistan
10-Mar-92,Australia/New Zealand,Canberra,25th Match,Zimbabwe,South Africa,163,164 for 3,South Africa,7,wickets,with 29 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
11-Mar-92,Australia/New Zealand,Perth,26th Match (D/N),Pakistan,Australia,220 for 9,172,Pakistan,48,runs,,Benson & Hedges World Cup,1991/92,Pakistan
12-Mar-92,Australia/New Zealand,Dunedin,27th Match,India,New Zealand,230 for 6,231 for 6,New Zealand,4,wickets,with 17 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
12-Mar-92,Australia/New Zealand,Melbourne,28th Match (D/N),South Africa,England,236 for 4,226 for 7,England,3,wickets,revised target,Benson & Hedges World Cup,1991/92,Pakistan
13-Mar-92,Australia/New Zealand,Berri,29th Match,West Indies,Sri Lanka,268 for 8,177 for 9,West Indies,91,runs,,Benson & Hedges World Cup,1991/92,Pakistan
14-Mar-92,Australia/New Zealand,Hobart,30th Match,Australia,Zimbabwe,265 for 6,137,Australia,128,runs,,Benson & Hedges World Cup,1991/92,Pakistan
15-Mar-92,Australia/New Zealand,Wellington,31st Match,England,New Zealand,200 for 8,201 for 3,New Zealand,7,wickets,with 55 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
15-Mar-92,Australia/New Zealand,Adelaide,32nd Match,India,South Africa,180 for 6,181 for 4,South Africa,6,wickets,with 5 balls remaining,Benson & Hedges World Cup,1991/92,Pakistan
